sample,sequencing_type,single_end,original_id,completion_date,date,assembly_prefix,nominal_species_id,fastq_1,fastq_2
OG1931,ilmn,false,OG1931,,251215,OG1931.ilmn.251215,Talismania antillarum,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1931/fastp/OG1931.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1931/fastp/OG1931.ilmn.251215.R2.fastq.gz
OG1932,ilmn,false,OG1932,,251215,OG1932.ilmn.251215,Cubiceps pauciradiatus cf,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1932/fastp/OG1932.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1932/fastp/OG1932.ilmn.251215.R2.fastq.gz
OG1933,ilmn,false,OG1933,,251215,OG1933.ilmn.251215,Chiasmodon sp,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1933/fastp/OG1933.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1933/fastp/OG1933.ilmn.251215.R2.fastq.gz
OG1934,ilmn,false,OG1934,,251215,OG1934.ilmn.251215,Stomiidae sp 2,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1934/fastp/OG1934.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1934/fastp/OG1934.ilmn.251215.R2.fastq.gz
OG1935,ilmn,false,OG1935,,251215,OG1935.ilmn.251215,Platyberyx sp,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1935/fastp/OG1935.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1935/fastp/OG1935.ilmn.251215.R2.fastq.gz
OG1936,ilmn,false,OG1936,,251215,OG1936.ilmn.251215,Stomiidae sp,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1936/fastp/OG1936.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1936/fastp/OG1936.ilmn.251215.R2.fastq.gz
OG1937,ilmn,false,OG1937,,251215,OG1937.ilmn.251215,Alepocephalus sp (small scales),/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1937/fastp/OG1937.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1937/fastp/OG1937.ilmn.251215.R2.fastq.gz
OG1938,ilmn,false,OG1938,,251215,OG1938.ilmn.251215,Talismania longifilis,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1938/fastp/OG1938.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1938/fastp/OG1938.ilmn.251215.R2.fastq.gz
OG1939,ilmn,false,OG1939,,251215,OG1939.ilmn.251215,Stemonosudis elongata?,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1939/fastp/OG1939.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1939/fastp/OG1939.ilmn.251215.R2.fastq.gz
OG1940,ilmn,false,OG1940,,251215,OG1940.ilmn.251215,Coryphaenoides sp (dossenus?),/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1940/fastp/OG1940.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1940/fastp/OG1940.ilmn.251215.R2.fastq.gz
OG1941,ilmn,false,OG1941,,251215,OG1941.ilmn.251215,Ariomma sp,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1941/fastp/OG1941.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1941/fastp/OG1941.ilmn.251215.R2.fastq.gz
OG1942,ilmn,false,OG1942,,251215,OG1942.ilmn.251215,Etmopterus sp 1,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1942/fastp/OG1942.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1942/fastp/OG1942.ilmn.251215.R2.fastq.gz
OG1943,ilmn,false,OG1943,,251215,OG1943.ilmn.251215,Ilyophis sp,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1943/fastp/OG1943.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1943/fastp/OG1943.ilmn.251215.R2.fastq.gz
