group	accession	organism	family	length_bp	n_cds	n_rrna	source
annelida	NC_063475.1	Acanthobdella peledina		18528	13	2	refseq
annelida	NC_069205.1	Paracanthobdella livanowi		15500	13	2	refseq
annelida	NC_064503.1	Paralvinella palmiformis	Alvinellidae	16386	13	2	refseq
annelida	NC_037947.1	Cryptonome barbada	Amphinomidae	15013	13	2	refseq
annelida	NC_087808.1	Antonbruunia milenae	Antonbruunidae	17540	13	2	refseq
annelida	NC_046790.1	Aphrodita australis	Aphroditidae	15288	13	2	refseq
annelida	NC_028710.1	Chaetopterus variopedatus	Chaetopteridae	16143	13	2	refseq
annelida	NC_060816.1	Chrysopetalum debile	Chrysopetalidae	16295	13	2	refseq
annelida	NC_060815.1	Craseoschema thyasiricola	Chrysopetalidae	15301	13	2	refseq
annelida	NC_037390.1	Cirriformia cf. tentaculata HK-2018	Cirratulidae	15495	13	2	refseq
annelida	NC_044092.1	Timarete posteria	Cirratulidae	15497	13	2	refseq
annelida	NC_070077.1	Enchytraeus irregularis	Enchytraeidae	15228	13	2	refseq
annelida	NC_036150.1	Erpobdella japonica	Erpobdellidae	14725	13	2	refseq
annelida	NC_023927.1	Erpobdella octoculata	Erpobdellidae	14407	13	2	refseq
annelida	NC_072219.1	Mooreobdella quaternaria	Erpobdellidae	14964	13	2	refseq
annelida	NC_023124.1	Marphysa sanguinea	Eunicidae	15159	13	2	refseq
annelida	NC_037236.1	Marphysa tamurai	Eunicidae	15163	13	2	refseq
annelida	NC_060759.1	Marphysa victori	Eunicidae	15891	13	2	refseq
annelida	NC_050262.1	Manayunkia occidentalis	Fabriciidae	15103	13	2	refseq
annelida	NC_072218.1	Alboglossiphonia lata	Glossiphoniidae	15227	13	2	refseq
annelida	NC_069206.1	Baicaloclepsis echinulata	Glossiphoniidae	15120	13	2	refseq
annelida	NC_069207.1	Baicaloclepsis grubei	Glossiphoniidae	14751	13	2	refseq
annelida	NC_072220.1	Batracobdella cancricola	Glossiphoniidae	15309	13	2	refseq
annelida	NC_069202.1	Glossiphonia complanata	Glossiphoniidae	15468	13	2	refseq
annelida	NC_072606.1	Helobdella europaea	Glossiphoniidae	18661	13	2	refseq
annelida	NC_030269.1	Placobdella lamothei	Glossiphoniidae	15190	13	2	refseq
annelida	NC_069203.1	Theromyzon tessulatum	Glossiphoniidae	15913	13	2	refseq
annelida	NC_071182.1	Torix tukubana	Glossiphoniidae	14814	13	2	refseq
annelida	NC_034783.1	Pontoscolex corethrurus	Glossoscolecidae	14835	13	2	refseq
annelida	NC_026995.1	Goniada japonica	Goniadidae	15327	13	2	refseq
annelida	NC_058234.1	Haemadipsa crenata	Haemadipsidae	14725	13	2	refseq
annelida	NC_087824.1	Haemadipsa hainana	Haemadipsidae	15800	13	2	refseq
annelida	NC_072221.1	Haemadipsa yanyuanensis	Haemadipsidae	14527	13	2	refseq
annelida	NC_023928.1	Whitmania acranulata	Haemopidae	14462	13	2	refseq
annelida	NC_023926.1	Whitmania laevis	Haemopidae	14433	13	2	refseq
annelida	NC_013569.1	Whitmania pigra	Haemopidae	14426	13	2	refseq
annelida	NC_066969.1	Leocrates chinensis	Hesionidae	15601	13	2	refseq
annelida	NC_064058.1	Sirsoe methanicola	Hesionidae	17403	13	2	refseq
annelida	NC_072217.1	Dinobdella ferox	Hirudinidae	14538	13	2	refseq
annelida	NC_023925.1	Hirudinaria manillensis	Hirudinidae	14470	13	2	refseq
annelida	NC_023776.1	Hirudo nipponia	Hirudinidae	14414	13	2	refseq
annelida	NC_061323.1	Poecilobdella javanica	Hirudinidae	15030	13	2	refseq
annelida	NC_066400.1	Aporrectodea caliginosa	Lumbricidae	15089	13	2	refseq
annelida	NC_046733.1	Aporrectodea rosea	Lumbricidae	15086	13	2	refseq
annelida	NC_066720.1	Aporrectodea trapezoides	Lumbricidae	14998	13	2	refseq
annelida	NC_066721.1	Aporrectodea tuberculata	Lumbricidae	15125	13	2	refseq
annelida	NC_079968.1	Dendrobaena veneta	Lumbricidae	15475	13	2	refseq
annelida	NC_065212.1	Eisenia andrei	Lumbricidae	15714	13	2	refseq
annelida	NC_065213.1	Eisenia fetida	Lumbricidae	16560	13	2	refseq
annelida	NC_066399.1	Eisenia nordenskioldi	Lumbricidae	15290	13	2	refseq
annelida	NC_001673.1	Lumbricus terrestris	Lumbricidae	14998	13	2	refseq
annelida	NC_069204.1	Lumbriculus variegatus	Lumbriculidae	15883	13	2	refseq
annelida	NC_028711.1	Magelona mirabilis	Magelonidae	15239	13	2	refseq
annelida	NC_069297.1	Asychis amphiglyptus	Maldanidae	15918	13	2	refseq
annelida	NC_006321.1	Clymenella torquata	Maldanidae	15538	13	2	refseq
annelida	NC_025292.1	Amynthas aspergillum	Megascolecidae	15115	13	2	refseq
annelida	NC_029863.1	Amynthas carnosus	Megascolecidae	15160	13	2	refseq
annelida	NC_027832.1	Amynthas corticis	Megascolecidae	15126	13	2	refseq
annelida	NC_029866.1	Amynthas cucullatus	Megascolecidae	15122	13	2	refseq
annelida	NC_065012.1	Amynthas deogyusanensis	Megascolecidae	15257	13	2	refseq
annelida	NC_027258.1	Amynthas gracilis	Megascolecidae	15161	13	2	refseq
annelida	NC_029864.1	Amynthas hupeiensis	Megascolecidae	15069	13	2	refseq
annelida	NC_029879.1	Amynthas jiriensis	Megascolecidae	15151	13	2	refseq
annelida	NC_027831.1	Amynthas longisiphonus	Megascolecidae	15176	13	2	refseq
annelida	NC_029872.1	Amynthas moniliatus	Megascolecidae	15133	13	2	refseq
annelida	NC_029865.1	Amynthas morrisi	Megascolecidae	15026	13	2	refseq
annelida	NC_029870.1	Amynthas pectiniferus	Megascolecidae	15188	13	2	refseq
annelida	NC_029871.1	Amynthas robustus	Megascolecidae	15013	13	2	refseq
annelida	NC_063588.1	Amynthas seungpanensis	Megascolecidae	15085	13	2	refseq
annelida	NC_029868.1	Amynthas triastriatus	Megascolecidae	15160	13	2	refseq
annelida	NC_029867.1	Duplodicodrilus schmardae	Megascolecidae	15156	13	2	refseq
annelida	NC_027257.1	Metaphire californica	Megascolecidae	15147	13	2	refseq
annelida	NC_029869.1	Metaphire guillelmi	Megascolecidae	15174	13	2	refseq
annelida	NC_023836.1	Metaphire vulgaris	Megascolecidae	15061	13	2	refseq
annelida	NC_009631.1	Perionyx excavatus	Megascolecidae	15083	13	2	refseq
annelida	NC_060488.1	Tonoscolex birmanicus	Megascolecidae	15170	13	2	refseq
annelida	NC_059817.1	Melinna cristata	Melinnidae	15696	13	2	refseq
annelida	NC_087882.1	Struwela camposi	Microphthalmidae	15488	13	2	refseq
annelida	NC_066398.1	Drawida ghilarovi	Moniligastridae	15080	13	2	refseq
annelida	NC_058285.1	Drawida gisti	Moniligastridae	14648	13	2	refseq
annelida	NC_028050.1	Drawida japonica	Moniligastridae	14648	13	2	refseq
annelida	NC_060814.1	Iheyomytilidicola lauensis	Nautiliniellidae	15783	13	2	refseq
annelida	NC_087810.1	Micronephthys minuta	Nephtyidae	16335	13	2	refseq
annelida	NC_051993.1	Alitta succinea	Nereididae	15409	13	2	refseq
annelida	NC_035507.1	Hediste diadroma	Nereididae	15765	13	2	refseq
annelida	NC_057074.1	Hediste diversicolor	Nereididae	15904	13	2	refseq
annelida	NC_050679.1	Hediste japonica	Nereididae	15783	13	2	refseq
annelida	NC_030040.1	Namalycastis abiuma	Nereididae	15265	13	2	refseq
annelida	NC_035893.1	Neanthes glandicincta	Nereididae	16126	13	2	refseq
annelida	NC_082301.1	Nectoneanthes multignatha	Nereididae	15446	13	2	refseq
annelida	NC_086458.1	Nectoneanthes oxypoda	Nereididae	15668	13	2	refseq
annelida	NC_082300.1	Nectoneanthes uchiwa	Nereididae	15447	13	2	refseq
annelida	NC_086457.1	Nereis pelagica	Nereididae	15764	13	2	refseq
annelida	NC_053360.1	Nereis zonata	Nereididae	15757	13	2	refseq
annelida	NC_032361.1	Paraleonnates uschakovi	Nereididae	15540	13	2	refseq
annelida	NC_023943.1	Perinereis aibuhitensis	Nereididae	15852	13	2	refseq
annelida	NC_065094.1	Perinereis camiguinoides	Nereididae	15819	12	2	refseq
annelida	NC_051994.1	Perinereis cultrifera	Nereididae	17056	13	2	refseq
annelida	NC_063944.1	Perinereis linea	Nereididae	15853	13	2	refseq
annelida	NC_020609.1	Perinereis nuntia	Nereididae	15824	13	2	refseq
annelida	NC_065095.1	Perinereis vancaurica	Nereididae	15832	12	2	refseq
annelida	NC_085286.1	Perinereis wilsoni	Nereididae	15817	13	2	refseq
annelida	NC_051995.1	Platynereis bicanaliculata	Nereididae	15868	13	2	refseq
annelida	NC_052845.1	Platynereis cf. australis PA-2020	Nereididae	16037	13	2	refseq
annelida	NC_000931.1	Platynereis dumerilii	Nereididae	15619	13	2	refseq
annelida	NC_051996.1	Platynereis massiliensis	Nereididae	17502	13	2	refseq
annelida	NC_025561.1	Tylorrhynchus heterochetus	Nereididae	16106	13	2	refseq
annelida	NC_058588.1	Diopatra cuprea	Onuphidae	15050	13	2	refseq
