accession	type	gene	product	parts
MG655624.1	CDS	COX1	cytochrome c oxidase subunit I	0-1524:1
MG655624.1	rRNA		12S ribosomal RNA	1879-2255:1
MG655624.1	rRNA		16S ribosomal RNA	2255-3105:1
MG655624.1	CDS	ND6	NADH dehydrogenase subunit 6	3098-3302:1
MG655624.1	CDS	COX3	cytochrome c oxidase subunit III	3307-4051:1
MG655624.1	CDS	ND3	NADH dehydrogenase subunit 3	4320-4695:1
MG655624.1	CDS	ND4	NADH dehydrogenase subunit 4	4695-5778:1
MG655624.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5795-5966:1
MG655624.1	CDS	ND5	NADH dehydrogenase subunit 5	5977-7456:1
MG655624.1	CDS		hypothetical protein	7604-8669:1
MG655624.1	CDS		hypothetical protein	9220-9889:1
MG655624.1	CDS	ND2	NADH dehydrogenase subunit 2	10034-10763:1
MG655624.1	CDS	CYTB	cytochrome b	10881-11937:1
MG655624.1	CDS	ND1	NADH dehydrogenase subunit 1	11855-12770:1
MG655624.1	CDS	COX2	cytochrome c oxidase subunit II	12775-13339:1
MN544301.1	CDS	COX1	cytochrome c oxidase subunit I	0-1539:1
MN544301.1	CDS	URF1	hypothetical protein	1543-1681:1
MN544301.1	CDS	COX2	cytochrome c oxidase subunit II	1683-2241:1
MN544301.1	CDS	URF2	hypothetical protein	2299-3640:1
MN544301.1	CDS	URF3	hypothetical protein	3687-3831:1
MN544301.1	rRNA	rnl	large subunit ribosomal RNA	4065-4998:1
MN544301.1	rRNA	rns	small subunit ribosomal RNA	5058-5637:1
MN544301.1	CDS	COX3	cytochrome c oxidase subunit III	5663-6404:1
MN544301.1	CDS	ND2	NADH dehydrogenase subunit 2	6415-7132:1
MN544301.1	CDS	ND3	NADH dehydrogenase subunit 3	7132-7441:1
MN544301.1	CDS	ND4	NADH dehydrogenase subunit 4	7442-8525:1
MN544301.1	CDS	CYTB	cytochrome b	8531-9635:1
MN544301.1	CDS	ND5	NADH dehydrogenase subunit 5	9641-11150:1
MN544301.1	CDS	ND1	NADH dehydrogenase subunit 1	11152-11989:1
MN544301.1	CDS	ND6	NADH dehydrogenase subunit 6	11988-12186:1
MN544301.1	CDS	ND4L	NADH dehydrogenase subunit 4L	12187-12520:1
NC_016117.1	CDS	COX1	cytochrome c oxidase subunit I	0-1524:1
NC_016117.1	CDS	COX3	cytochrome c oxidase subunit III	1524-2250:1
NC_016117.1	CDS	ND3	NADH dehydrogenase subunit 3	2246-2573:1
NC_016117.1	CDS	COX2	cytochrome c oxidase subunit II	2573-3152:1
NC_016117.1	rRNA	rns	s-rRNA	3152-3520:1
NC_016117.1	rRNA	rnl	l-rRNA	3520-4398:1
NC_016117.1	CDS	ND4	NADH dehydrogenase subunit 4	4398-5493:1
NC_016117.1	CDS	ND2	NADH dehydrogenase subunit 2	5494-6220:1
NC_016117.1	CDS	ND4L	NADH dehydrogenase subunit 4L	6220-6418:1
NC_016117.1	CDS	ND5	NADH dehydrogenase subunit 5	6526-7933:1
NC_016117.1	CDS	ND1	NADH dehydrogenase subunit 1	7932-8802:1
NC_016117.1	CDS	CYTB	cytochrome b	8774-9860:1
NC_016117.1	CDS	ND6	NADH dehydrogenase subunit 6	9846-10050:1
NC_038065.1	CDS	COX1	cytochrome c oxidase subunit I	0-1524:1
NC_038065.1	rRNA		12S ribosomal RNA	1879-2255:1
NC_038065.1	rRNA		16S ribosomal RNA	2255-3105:1
NC_038065.1	CDS	ND6	NADH dehydrogenase subunit 6	3098-3302:1
NC_038065.1	CDS	COX3	cytochrome c oxidase subunit III	3307-4051:1
NC_038065.1	CDS	ND3	NADH dehydrogenase subunit 3	4323-4698:1
NC_038065.1	CDS	ND4	NADH dehydrogenase subunit 4	4698-5781:1
NC_038065.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5798-5969:1
NC_038065.1	CDS	ND5	NADH dehydrogenase subunit 5	5980-7459:1
