group	accession	organism	family	length_bp	n_cds	n_rrna	source
arthropoda	NC_026309.1	Brachyuropus grewingkii	Acanthogammaridae	17118	13	2	refseq
arthropoda	NC_044783.1	Alicella gigantea	Alicellidae	16851	13	2	refseq
arthropoda	NC_039353.1	Pseudoniphargus carpalis	Allocrangonyctidae	14861	13	2	refseq
arthropoda	NC_019662.2	Pseudoniphargus daviui	Allocrangonyctidae	15157	13	2	refseq
arthropoda	NC_039354.1	Pseudoniphargus stocki	Allocrangonyctidae	14697	13	2	refseq
arthropoda	NC_079948.1	Alpheus brevicristatus	Alpheidae	15705	13	2	refseq
arthropoda	NC_014883.1	Alpheus distinguendus	Alpheidae	15700	13	2	refseq
arthropoda	NC_038068.1	Alpheus hoplocheles	Alpheidae	15735	13	2	refseq
arthropoda	NC_041151.1	Alpheus inopinatus	Alpheidae	15789	13	2	refseq
arthropoda	NC_038116.1	Alpheus japonicus	Alpheidae	16619	13	2	refseq
arthropoda	NC_047307.1	Synalpheus microneptunus	Alpheidae	15603	13	2	refseq
arthropoda	NC_018778.1	Alvinocaris chelys	Alvinocarididae	15910	13	2	refseq
arthropoda	NC_042497.1	Alvinocaris longirostris	Alvinocarididae	16022	13	2	refseq
arthropoda	NC_051948.1	Chorocaris paulexa	Alvinocarididae	15909	13	2	refseq
arthropoda	NC_054368.1	Mirocaris indica	Alvinocarididae	15922	13	2	refseq
arthropoda	NC_021971.1	Nautilocaris saintlaurentae	Alvinocarididae	15928	13	2	refseq
arthropoda	NC_020311.1	Opaepele loihi	Alvinocarididae	15905	13	2	refseq
arthropoda	NC_027116.1	Rimicaris exoculata	Alvinocarididae	15902	13	2	refseq
arthropoda	NC_020310.1	Rimicaris kairei	Alvinocarididae	15900	13	2	refseq
arthropoda	NC_037487.1	Rimicaris leurokolos	Alvinocarididae	15903	13	2	refseq
arthropoda	NC_013976.1	Eophreatoicus sp. 14 FK-2009	Amphisopidae	14994	13	2	refseq
arthropoda	NC_045187.1	Ampithoe lacertosa	Ampithoidae	14607	13	2	refseq
