group	accession	organism	family	length_bp	n_cds	n_rrna	source	lineage
anthozoa	PX980026.1	Abyssoanthidae sp. T77066-1	Abyssoanthidae	18570	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Zoantharia;Abyssoanthidae
anthozoa	NC_061988.1	Acanthoaxis wirtzi	Acanthoaxiidae	19648	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Acanthoaxiidae;Acanthoaxis
anthozoa	PP712103.1	Acanthogorgia armata	Acanthogorgiidae	19095	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Acanthogorgiidae;Acanthogorgia
anthozoa	NC_061989.1	Acanthogorgia breviflora	Acanthogorgiidae	18714	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Acanthogorgiidae;Acanthogorgia
anthozoa	PP760175.1	Calcigorgia spiculifera	Acanthogorgiidae	18722	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Acanthogorgiidae;Calcigorgia
anthozoa	NC_023345.1	Calicogorgia granulosa	Acanthogorgiidae	20246	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Acanthogorgiidae;Calicogorgia
anthozoa	NC_061990.1	Acrophytum claviger	Acrophytidae	19010	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Acrophytidae;Acrophytum
anthozoa	KT001202.1	Acropora aculeus	Acroporidae	18528	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_022827.1	Acropora aspera	Acroporidae	18479	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_083272.1	Acropora cervicornis	Acroporidae	18259	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
