accession	type	gene	product	parts
NC_088089.1	rRNA		large subunit ribosomal RNA	0-1999:1
NC_088089.1	CDS	ND5	NADH dehydrogenase subunit 5	1999-2709:1,12848-13953:1
NC_088089.1	CDS	ND1	NADH dehydrogenase subunit 1	2821-3769:1
NC_088089.1	CDS	CYTB	cytochrome b	3793-4933:1
NC_088089.1	CDS	ND2	NADH dehydrogenase subunit 2	5153-6245:1
NC_088089.1	CDS	ND6	NADH dehydrogenase subunit 6	6245-6812:1
NC_088089.1	CDS	ATP6	ATP synthase subunit 6	6849-7530:1
NC_088089.1	CDS	ND4	NADH dehydrogenase subunit 4	7529-8975:1
NC_088089.1	rRNA		small subunit ribosomal RNA	8975-10137:1
NC_088089.1	CDS	COX2	cytochrome c oxidase subunit II	10137-10929:1
NC_088089.1	CDS	COX3	cytochrome c oxidase subunit III	11094-11874:1
NC_088089.1	CDS	ND4L	NADH dehydrogenase subunit 4L	12050-12350:1
NC_088089.1	CDS	ND3	NADH dehydrogenase subunit 3	12349-12694:1
NC_088089.1	tRNA		tRNA-Tyr	13952-14023:1
NC_088089.1	CDS	ATP8	ATP synthase subunit 8	14023-14221:1
NC_088089.1	CDS	COX1	cytochrome c oxidase subunit I	14220-15780:1
NC_088089.1	tRNA		tRNA-Met	15769-15841:1
NC_088052.1	CDS	COX1	cytochrome c oxidase subunit I	0-894:1,2372-3071:1
NC_088052.1	CDS	HEG	homing endonuclease	1204-2266:1
NC_088052.1	CDS	ND4L	NADH dehydrogenase subunit 4L	3219-3519:1
NC_088052.1	CDS	COX2	cytochrome c oxidase subunit II	3626-4376:1
NC_088052.1	CDS	ND4	NADH dehydrogenase subunit 4	4432-5935:1
NC_088052.1	CDS	ND6	NADH dehydrogenase subunit 6	6140-6731:1
NC_088052.1	CDS	ATP8	ATP synthase F0 subunit 8	6805-7018:1
NC_088052.1	CDS	ATP6	ATP synthase F0 subunit 6	7191-7890:1
NC_088052.1	CDS	ND5	NADH dehydrogenase subunit 5	8028-8748:1,10810-11941:1
