gene	organism	taxon_group	accession	aa_len
ND4L	Abudefduf saxatilis	Actinopterygii	NC_085738.1	98
ND4L	Acnodon oligacanthus	Actinopterygii	NC_133445.1	98
ND4L	Afurcagobius suppositus	Actinopterygii	NC_086664.1	98
ND4L	Ameiurus natalis	Actinopterygii	NC_036391.1	98
ND4L	Ariomma regulus	Actinopterygii	NC_082749.1	98
ND4L	Brotula barbata	Actinopterygii	NC_083010.1	98
ND4L	Campostoma oligolepis	Actinopterygii	NC_084088.1	98
ND4L	Citharichthys stigmaeus	Actinopterygii	NC_083050.1	98
ND4L	Conodon nobilis	Actinopterygii	NC_087991.1	98
ND4L	Cynoscion jamaicensis	Actinopterygii	NC_087993.1	98
ND4L	Dermatolepis inermis	Actinopterygii	NC_087996.1	98
ND4L	Enneapterygius hsiojenae	Actinopterygii	NC_080985.1	98
ND4L	Gobiobotia jiangxiensis	Actinopterygii	NC_085318.1	98
ND4L	Hoplunnis tenuis	Actinopterygii	NC_082748.1	98
ND4L	Lyopsetta exilis	Actinopterygii	NC_082803.1	98
ND4L	Macrhybopsis aestivalis	Actinopterygii	NC_088499.1	98
ND4L	Merluccius hubbsi	Actinopterygii	NC_088010.1	98
ND4L	Myripristis murdjan	Actinopterygii	NC_085253.1	98
ND4L	Naso brevirostris	Actinopterygii	NC_082850.1	98
ND4L	Notropis buccata	Actinopterygii	NC_084094.1	98
ND4L	Regalecus russelii	Actinopterygii	NC_081042.1	98
ND4L	Seriola fasciata	Actinopterygii	NC_082554.1	98
ND4L	Trachonurus sulcatus	Actinopterygii	NC_083012.1	98
ND4L	Glyphis glyphis	Chondrichthyes	NC_021768.2	98
ND4L	Heterodontus zebra	Chondrichthyes	NC_021615.1	98
ND4L	Rhinochimaera pacifica	Chondrichthyes	NC_014293.1	98
ND4L	Sphyrna zygaena	Chondrichthyes	NC_025778.1	98
ND4L	Triaenodon obesus	Chondrichthyes	NC_026287.1	98
ND4L	Zearaja chilensis	Chondrichthyes	NC_023944.1	98
ND4L	Cnephaeus nilssonii	Tetrapoda	NC_084105.1	98
ND4L	Elephantulus intufi	Tetrapoda	NC_073533.1	98
ND4L	Mazama temama	Tetrapoda	NC_065375.1	98
ND4L	Sicista strandi	Tetrapoda	NC_063779.1	98
ND4L	Stercorarius skua	Tetrapoda	NC_071236.1	98
ATP8	Ammocrypta vivax	Actinopterygii	NC_084089.1	55
ATP8	Atheresthes stomias	Actinopterygii	NC_083173.1	55
ATP8	Caranx latus	Actinopterygii	NC_082556.1	55
ATP8	Citharichthys stigmaeus	Actinopterygii	NC_083050.1	55
ATP8	Dermatolepis inermis	Actinopterygii	NC_087996.1	55
ATP8	Enneapterygius hsiojenae	Actinopterygii	NC_080985.1	55
ATP8	Isopisthus parvipinnis	Actinopterygii	NC_088004.1	55
ATP8	Lepomis gulosus	Actinopterygii	NC_042249.1	55
ATP8	Limanda sakhalinensis	Actinopterygii	NC_082768.1	55
ATP8	Nansenia crassa	Actinopterygii	NC_082853.1	55
ATP8	Naucrates ductor	Actinopterygii	NC_083043.1	54
ATP8	Nemipterus balinensoides	Actinopterygii	NC_082988.1	55
ATP8	Notoscopelus resplendens	Actinopterygii	NC_083188.1	55
ATP8	Oncorhynchus chrysogaster	Actinopterygii	NC_087622.1	55
ATP8	Ophidion muraenolepis	Actinopterygii	NC_083180.1	55
ATP8	Pseudopleuronectes americanus	Actinopterygii	NC_082555.1	55
ATP8	Sargocentron melanospilos	Actinopterygii	NC_085257.1	55
ATP8	Schizothorax fedtschenkoi	Actinopterygii	NC_087781.1	54
ATP8	Totoaba macdonaldi	Actinopterygii	NC_082752.1	55
ATP8	Triglops macellus	Actinopterygii	NC_082817.1	55
ATP8	Turrum fulvoguttatum	Actinopterygii	NC_082849.1	55
ATP8	Urophycis brasiliensis	Actinopterygii	NC_088031.1	55
ATP8	Acroteriobatus blochii	Chondrichthyes	NC_068898.1	55
ATP8	Carcharhinus longimanus	Chondrichthyes	NC_025520.1	55
ATP8	Dipturus intermedius	Chondrichthyes	NC_060794.1	55
ATP8	Heterodontus zebra	Chondrichthyes	NC_021615.1	55
ATP8	Megachasma pelagios	Chondrichthyes	NC_021442.1	55
ATP8	Mitsukurina owstoni	Chondrichthyes	NC_011825.1	55
ATP8	Narcine entemedor	Chondrichthyes	NC_025512.1	55
ATP8	Scyliorhinus retifer	Chondrichthyes	NC_082751.1	55
ATP8	Squatina aculeata	Chondrichthyes	NC_063620.1	55
ATP8	Zapteryx exasperata	Chondrichthyes	NC_024937.1	55
ATP8	Reithrodontomys fulvescens	Tetrapoda	NC_087794.1	67
ATP8	Sistrurus catenatus	Tetrapoda	NC_071935.1	54
