group	accession	organism	family	length_bp	n_cds	n_rrna	source	lineage
porifera	PP971517.1	Demospongiae sp.		20349	14	2	genbank	Eukaryota;Metazoa;Porifera;Demospongiae
porifera	PP971518.1	Porifera sp.		22712	15	2	genbank	Eukaryota;Metazoa;Porifera
porifera	NC_065020.1	Terpios hoshinota		20504	14	2	refseq	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Suberitida;Suberitida incertae sedis;Terpios
porifera	BK068138.1	Iophon methanophila	Acarnidae	18718	14	2	genbank	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Poecilosclerida;Acarnidae;Iophon
porifera	OQ363829.1	Agelas nakamurai	Agelasidae	20885	14	2	genbank	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Agelasida;Agelasidae;Agelas
porifera	NC_010213.1	Agelas schmidtii	Agelasidae	20360	14	2	refseq	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Agelasida;Agelasidae;Agelas
porifera	NC_010769.1	Aphrocallistes vastus	Aphrocallistidae	17427	13	2	refseq	Eukaryota;Metazoa;Porifera;Hexactinellida;Hexasterophora;Sceptrulophora;Aphrocallistidae;Aphrocallistes
porifera	NC_016949.1	Aplysina cauliformis	Aplysinidae	19620	14	2	refseq	Eukaryota;Metazoa;Porifera;Demospongiae;Verongimorpha;Verongiida;Aplysinidae;Aplysina
porifera	NC_010203.1	Aplysina fulva	Aplysinidae	19620	14	2	refseq	Eukaryota;Metazoa;Porifera;Demospongiae;Verongimorpha;Verongiida;Aplysinidae;Aplysina
porifera	NC_053937.1	Aplysina gerardogreeni	Aplysinidae	19620	14	2	refseq	Eukaryota;Metazoa;Porifera;Demospongiae;Verongimorpha;Verongiida;Aplysinidae;Aplysina
porifera	NC_006894.1	Axinella corrugata	Axinellidae	25610	14	2	refseq	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Axinellida;Axinellidae;Axinella
porifera	NC_010209.1	Ptilocaulis walpersi	Axinellidae	18865	14	2	refseq	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Axinellida;Axinellidae;Ptilocaulis
porifera	NC_010206.1	Callyspongia plicifera	Callyspongiidae	18846	14	2	refseq	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;Callyspongiidae;Callyspongia
porifera	PP464272.1	Haliclona caerulea	Chalinidae	19262	13	2	genbank	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;Chalinidae;Haliclona
porifera	PP464276.1	Haliclona pahua	Chalinidae	18595	13	2	genbank	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;Chalinidae;Haliclona
porifera	PP464279.1	Haliclona simulans	Chalinidae	21745	13	2	genbank	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;Chalinidae;Haliclona
porifera	PP464274.1	Haliclona sp. BKON-2560	Chalinidae	19797	14	2	genbank	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;Chalinidae;Haliclona
porifera	PP464275.1	Haliclona sp. BKON-2565	Chalinidae	18584	14	2	genbank	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;Chalinidae;Haliclona
porifera	PP464280.1	Haliclona sp. TLT723	Chalinidae	18590	13	2	genbank	Eukaryota;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;Chalinidae;Haliclona
porifera	NC_010208.1	Chondrilla aff. nucula CHOND	Chondrillidae	19282	14	2	refseq	Eukaryota;Metazoa;Porifera;Demospongiae;Verongimorpha;Chondrillida;Chondrillidae;Chondrilla
