group	accession	organism	family	length_bp	n_cds	n_rrna	source
mollusca	NC_047426.1	Acanthochitona avicula	Acanthochitonidae	15203	13	2	refseq
mollusca	NC_087903.1	Acanthochitona defilippii	Acanthochitonidae	14999	13	2	refseq
mollusca	NC_082305.1	Acanthochitona mahensis	Acanthochitonidae	15013	13	2	refseq
mollusca	NC_030190.1	Achatinella mustelina	Achatinellidae	16323	13	2	refseq
mollusca	NC_040969.1	Partulina redfieldi	Achatinellidae	16879	13	2	refseq
mollusca	NC_024601.1	Lissachatina fulica	Achatinidae	15057	13	2	refseq
mollusca	NC_060648.1	Scurria scurra	Acmaeidae	18482	13	2	refseq
mollusca	NC_002176.1	Pupa strigosa	Acteonidae	14189	13	2	refseq
mollusca	NC_053882.1	Protaeolidiella atra	Aeolidiidae	14445	13	2	refseq
mollusca	NC_072953.1	Deroceras laeve	Agriolimacidae	14773	13	2	refseq
mollusca	NC_035495.1	Deroceras reticulatum	Agriolimacidae	14048	13	2	refseq
mollusca	NC_016185.1	Salinator rhamphidia	Amphibolidae	14007	13	2	refseq
mollusca	NC_068867.1	Amphitretus pelagicus	Amphitretidae	17380	13	2	refseq
mollusca	NC_025334.1	Marisa cornuarietis	Ampullariidae	15923	13	2	refseq
mollusca	NC_080527.1	Pila globosa	Ampullariidae	16903	13	2	refseq
mollusca	NC_077599.1	Pila virens	Ampullariidae	16839	13	2	refseq
mollusca	NC_084053.1	Pomacea aulanieri	Ampullariidae	16096	13	2	refseq
mollusca	NC_037691.1	Pomacea bridgesi	Ampullariidae	16640	13	2	refseq
mollusca	NC_024586.1	Pomacea canaliculata	Ampullariidae	15707	13	2	refseq
mollusca	NC_041142.1	Pomacea diffusa	Ampullariidae	16373	13	2	refseq
mollusca	NC_027503.1	Pomacea maculata	Ampullariidae	15516	13	2	refseq
mollusca	NC_084052.1	Pomacea reevei	Ampullariidae	15660	13	2	refseq
mollusca	NC_082224.1	Raeta pulchella	Anatinellidae	19514	13	2	refseq
mollusca	NC_088521.1	Ferrissia californica	Ancylidae	13526	13	2	refseq
mollusca	NC_015106.1	Micromelo undatus	Aplustridae	14160	13	2	refseq
mollusca	NC_063768.1	Aplysia argus	Aplysiidae	14124	13	2	refseq
mollusca	NC_005827.1	Aplysia californica	Aplysiidae	14117	13	2	refseq
mollusca	NC_015088.1	Aplysia dactylomela	Aplysiidae	14128	13	2	refseq
mollusca	NC_024260.1	Aplysia kurodai	Aplysiidae	14131	13	2	refseq
mollusca	NC_059920.1	Aporrhais serresiana	Aporrhaidae	15455	13	2	refseq
mollusca	NC_011581.1	Architeuthis dux	Architeuthidae	20331	18	2	refseq
mollusca	NC_024927.1	Anadara kagoshimensis	Arcidae	48161	12	2	refseq
mollusca	NC_063956.1	Barbatia decussata	Arcidae	19241	12	2	refseq
mollusca	NC_026081.1	Tegillarca granosa	Arcidae	31589	12	2	refseq
mollusca	NC_022709.1	Arctica islandica	Arcticidae	18289	12	2	refseq
mollusca	NC_069996.1	Argonauta argo	Argonautidae	15724	13	2	refseq
mollusca	NC_036354.1	Argonauta hians	Argonautidae	16130	13	2	refseq
mollusca	NC_048475.1	Argonauta nodosus	Argonautidae	15201	13	2	refseq
mollusca	NC_073101.1	Arion flagellus	Arionidae	14294	13	2	refseq
mollusca	NC_046044.1	Arion vulgaris	Arionidae	14548	13	2	refseq
mollusca	NC_062675.1	Dermatobranchus otome	Arminidae	14559	13	2	refseq
mollusca	NC_087842.1	Assiminea estuarina	Assimineidae	15907	13	2	refseq
mollusca	NC_087841.1	Optediceros breviculum	Assimineidae	15870	13	2	refseq
mollusca	NC_087866.1	Optediceros marginatum	Assimineidae	15868	13	2	refseq
mollusca	NC_085242.1	Optediceros sp.	Assimineidae	15906	13	2	refseq
mollusca	NC_035869.1	Baicalia turriformis	Baicaliidae	15127	13	2	refseq
mollusca	NC_035870.1	Godlewskia godlewskia	Baicaliidae	15224	13	2	refseq
mollusca	NC_035871.1	Maackia herderiana	Baicaliidae	15154	13	2	refseq
mollusca	NC_016423.1	Bathyteuthis abyssicola	Bathyteuthidae	20075	17	2	refseq
mollusca	NC_047187.1	Batillaria attramentaria	Batillariidae	16095	13	2	refseq
mollusca	NC_069995.1	Bolitaena pygmaea	Bolitaenidae	16083	13	2	refseq
mollusca	NC_068866.1	Japetella diaphana	Bolitaenidae	16111	13	2	refseq
